Instancia;Tempo Medio;Melhor Solucao;Solucao Media;#1T;#1S;#2T;#2S;#3T;#3S;#4T;#4S;#5T;#5S;#6T;#6S;#7T;#7S;#8T;#8S;#9T;#9S;#10T;#10S;#11T;#11S;#12T;#12S;#13T;#13S;#14T;#14S;#15T;#15S;#16T;#16S;#17T;#17S;#18T;#18S;#19T;#19S;#20T;#20S;
GKD-a_51_n30_m6;34.5;10662.83799;10662.83799;32.0;10662.83799;31.0;10662.83799;32.0;10662.83799;31.0;10662.83799;35.0;10662.83799;32.0;10662.83799;32.0;10662.83799;34.0;10662.83799;43.0;10662.83799;32.0;10662.83799;32.0;10662.83799;31.0;10662.83799;43.0;10662.83799;31.0;10662.83799;39.0;10662.83799;31.0;10662.83799;41.0;10662.83799;42.0;10662.83799;34.0;10662.83799;32.0;10662.83799;
GKD-a_52_n30_m6;34.4;9850.364459999999;9850.364460000003;35.0;9850.364459999999;33.0;9850.364459999999;34.0;9850.364459999999;31.0;9850.364459999999;31.0;9850.364459999999;32.0;9850.364459999999;30.0;9850.364459999999;32.0;9850.364459999999;39.0;9850.364459999999;32.0;9850.364459999999;31.0;9850.364459999999;67.0;9850.364459999999;31.0;9850.364459999999;30.0;9850.364459999999;29.0;9850.364459999999;37.0;9850.364459999999;30.0;9850.364459999999;32.0;9850.364459999999;38.0;9850.364459999999;34.0;9850.364459999999;
GKD-a_53_n30_m6;37.65;5774.988320000003;5774.988320000003;35.0;5774.988320000003;35.0;5774.988320000003;50.0;5774.988320000003;32.0;5774.988320000003;31.0;5774.988320000003;30.0;5774.988320000003;77.0;5774.988320000003;41.0;5774.988320000003;31.0;5774.988320000003;38.0;5774.988320000003;29.0;5774.988320000003;33.0;5774.988320000003;29.0;5774.988320000003;39.0;5774.988320000003;36.0;5774.988320000003;46.0;5774.988320000003;38.0;5774.988320000003;35.0;5774.988320000003;31.0;5774.988320000003;37.0;5774.988320000003;
GKD-a_55_n30_m6;34.0;3817.4367299999994;3817.4367300000004;34.0;3817.4367299999994;31.0;3817.4367299999994;38.0;3817.4367299999994;30.0;3817.4367299999994;32.0;3817.4367299999994;32.0;3817.4367299999994;34.0;3817.4367299999994;32.0;3817.4367299999994;36.0;3817.4367299999994;35.0;3817.4367299999994;31.0;3817.4367299999994;36.0;3817.4367299999994;31.0;3817.4367299999994;35.0;3817.4367299999994;37.0;3817.4367299999994;36.0;3817.4367299999994;33.0;3817.4367299999994;37.0;3817.4367299999994;34.0;3817.4367299999994;36.0;3817.4367299999994;
GKD-a_56_n30_m9;42.8;10608.864680000004;10608.864680000002;38.0;10608.864680000004;39.0;10608.864680000004;37.0;10608.864680000004;37.0;10608.864680000004;59.0;10608.864680000004;36.0;10608.864680000004;38.0;10608.864680000004;38.0;10608.864680000004;40.0;10608.864680000004;41.0;10608.864680000004;46.0;10608.864680000004;39.0;10608.864680000004;59.0;10608.864680000004;38.0;10608.864680000004;69.0;10608.864680000004;38.0;10608.864680000004;40.0;10608.864680000004;46.0;10608.864680000004;37.0;10608.864680000004;41.0;10608.864680000004;
GKD-a_57_n30_m9;46.4;21061.856139999996;21061.856139999993;40.0;21061.856139999996;55.0;21061.856139999996;39.0;21061.856139999996;65.0;21061.856139999996;37.0;21061.856139999996;42.0;21061.856139999996;42.0;21061.856139999996;42.0;21061.856139999996;74.0;21061.856139999996;41.0;21061.856139999996;37.0;21061.856139999996;49.0;21061.856139999996;37.0;21061.856139999996;65.0;21061.856139999996;35.0;21061.856139999996;58.0;21061.856139999996;40.0;21061.856139999996;43.0;21061.856139999996;44.0;21061.856139999996;43.0;21061.856139999996;
GKD-a_61_n30_m12;46.15;25480.718990000012;25480.71899000002;39.0;25480.718990000012;58.0;25480.718990000012;46.0;25480.718990000012;36.0;25480.718990000012;37.0;25480.718990000012;60.0;25480.718990000012;64.0;25480.718990000012;37.0;25480.718990000012;49.0;25480.718990000012;38.0;25480.718990000012;39.0;25480.718990000012;38.0;25480.718990000012;37.0;25480.718990000012;77.0;25480.718990000012;39.0;25480.718990000012;46.0;25480.718990000012;41.0;25480.718990000012;58.0;25480.718990000012;44.0;25480.718990000012;40.0;25480.718990000012;
GKD-a_54_n30_m6;40.85;5111.213889999997;5111.213889999998;35.0;5111.213889999997;33.0;5111.213889999997;34.0;5111.213889999997;62.0;5111.213889999997;53.0;5111.213889999997;51.0;5111.213889999997;33.0;5111.213889999997;34.0;5111.213889999997;39.0;5111.213889999997;50.0;5111.213889999997;64.0;5111.213889999997;34.0;5111.213889999997;36.0;5111.213889999997;36.0;5111.213889999997;34.0;5111.213889999997;35.0;5111.213889999997;42.0;5111.213889999997;39.0;5111.213889999997;35.0;5111.213889999997;38.0;5111.213889999997;
GKD-a_58_n30_m9;50.15;11492.326849999998;11492.326850000003;51.0;11492.326849999998;55.0;11492.326849999998;45.0;11492.326849999998;47.0;11492.326849999998;45.0;11492.326849999998;46.0;11492.326849999998;44.0;11492.326849999998;63.0;11492.326849999998;64.0;11492.326849999998;46.0;11492.326849999998;45.0;11492.326849999998;44.0;11492.326849999998;44.0;11492.326849999998;64.0;11492.326849999998;44.0;11492.326849999998;44.0;11492.326849999998;45.0;11492.326849999998;69.0;11492.326849999998;49.0;11492.326849999998;49.0;11492.326849999998;
GKD-a_59_n30_m9;41.75;14396.937949999998;14396.937949999996;42.0;14396.937949999998;38.0;14396.937949999998;54.0;14396.937949999998;53.0;14396.937949999998;37.0;14396.937949999998;37.0;14396.937949999998;39.0;14396.937949999998;37.0;14396.937949999998;39.0;14396.937949999998;48.0;14396.937949999998;40.0;14396.937949999998;42.0;14396.937949999998;38.0;14396.937949999998;37.0;14396.937949999998;40.0;14396.937949999998;37.0;14396.937949999998;40.0;14396.937949999998;39.0;14396.937949999998;37.0;14396.937949999998;61.0;14396.937949999998;
