Instancia;Tempo Medio;Melhor Solucao;Solucao Media;#1T;#1S;#2T;#2S;#3T;#3S;#4T;#4S;#5T;#5S;#6T;#6S;#7T;#7S;#8T;#8S;#9T;#9S;#10T;#10S;#11T;#11S;#12T;#12S;#13T;#13S;#14T;#14S;#15T;#15S;#16T;#16S;#17T;#17S;#18T;#18S;#19T;#19S;#20T;#20S;
GKD-b_16_n50_m15;112.55;21036.981110000004;21036.98111;104.0;21036.981110000004;104.0;21036.981110000004;102.0;21036.981110000004;130.0;21036.981110000004;106.0;21036.981110000004;125.0;21036.981110000004;114.0;21036.981110000004;113.0;21036.981110000004;105.0;21036.981110000004;105.0;21036.981110000004;128.0;21036.981110000004;120.0;21036.981110000004;112.0;21036.981110000004;121.0;21036.981110000004;107.0;21036.981110000004;108.0;21036.981110000004;104.0;21036.981110000004;115.0;21036.981110000004;119.0;21036.981110000004;109.0;21036.981110000004;
GKD-b_28_n100_m30;786.3;225603.0441000003;225603.04410000038;771.0;225603.0441000003;754.0;225603.0441000003;781.0;225603.0441000003;770.0;225603.0441000003;805.0;225603.0441000003;780.0;225603.0441000003;802.0;225603.0441000003;793.0;225603.0441000003;799.0;225603.0441000003;829.0;225603.0441000003;778.0;225603.0441000003;789.0;225603.0441000003;801.0;225603.0441000003;786.0;225603.0441000003;800.0;225603.0441000003;776.0;225603.0441000003;749.0;225603.0441000003;820.0;225603.0441000003;761.0;225603.0441000003;782.0;225603.0441000003;
GKD-b_33_n125_m12;272.4;30746.21442000002;30728.53683900002;271.0;30746.21442000002;256.0;30746.21442000002;267.0;30746.21442000002;284.0;30746.21442000002;309.0;30746.21442000002;264.0;30746.21442000002;260.0;30746.21442000002;270.0;30746.21442000002;269.0;30746.21442000002;311.0;30746.21442000002;274.0;30746.21442000002;260.0;30746.21442000002;264.0;30746.21442000002;276.0;30746.21442000002;272.0;30392.662800000006;269.0;30746.21442000002;253.0;30746.21442000002;282.0;30746.21442000002;267.0;30746.21442000002;270.0;30746.21442000002;
GKD-b_47_n150_m45;2675.55;429413.37360999984;429413.37360999995;2618.0;429413.37360999984;2632.0;429413.37360999984;2685.0;429413.37360999984;2706.0;429413.37360999984;2687.0;429413.37360999984;2629.0;429413.37360999984;2634.0;429413.37360999984;2667.0;429413.37360999984;2736.0;429413.37360999984;2735.0;429413.37360999984;2730.0;429413.37360999984;2700.0;429413.37360999984;2666.0;429413.37360999984;2657.0;429413.37360999984;2684.0;429413.37360999984;2627.0;429413.37360999984;2664.0;429413.37360999984;2762.0;429413.37360999984;2647.0;429413.37360999984;2645.0;429413.37360999984;
GKD-b_18_n50_m15;92.65;28931.509090000007;28931.509090000007;90.0;28931.509090000007;88.0;28931.509090000007;94.0;28931.509090000007;96.0;28931.509090000007;99.0;28931.509090000007;85.0;28931.509090000007;88.0;28931.509090000007;91.0;28931.509090000007;117.0;28931.509090000007;105.0;28931.509090000007;89.0;28931.509090000007;85.0;28931.509090000007;91.0;28931.509090000007;85.0;28931.509090000007;86.0;28931.509090000007;97.0;28931.509090000007;90.0;28931.509090000007;97.0;28931.509090000007;88.0;28931.509090000007;92.0;28931.509090000007;
GKD-b_24_n100_m10;170.2;29912.391750000006;29912.39175;152.0;29912.391750000006;160.0;29912.391750000006;181.0;29912.391750000006;194.0;29912.391750000006;158.0;29912.391750000006;172.0;29912.391750000006;194.0;29912.391750000006;177.0;29912.391750000006;160.0;29912.391750000006;159.0;29912.391750000006;162.0;29912.391750000006;207.0;29912.391750000006;157.0;29912.391750000006;190.0;29912.391750000006;154.0;29912.391750000006;178.0;29912.391750000006;163.0;29912.391750000006;178.0;29912.391750000006;154.0;29912.391750000006;154.0;29912.391750000006;
GKD-b_21_n100_m10;145.55;17101.505090000002;17084.751670499994;138.0;17101.505090000002;137.0;17101.505090000002;139.0;17101.505090000002;143.0;17101.505090000002;148.0;16766.43669999999;153.0;17101.505090000002;134.0;17101.505090000002;129.0;17101.505090000002;133.0;17101.505090000002;164.0;17101.505090000002;140.0;17101.505090000002;143.0;17101.505090000002;180.0;17101.505090000002;141.0;17101.505090000002;188.0;17101.505090000002;132.0;17101.505090000002;139.0;17101.505090000002;152.0;17101.505090000002;133.0;17101.505090000002;145.0;17101.505090000002;
GKD-b_38_n125_m37;1062.35;179967.5713900001;179959.40168050016;1035.0;179967.5713900001;1043.0;179967.5713900001;1063.0;179967.5713900001;1066.0;179804.17720000006;1073.0;179967.5713900001;1048.0;179967.5713900001;1059.0;179967.5713900001;1125.0;179967.5713900001;1091.0;179967.5713900001;1059.0;179967.5713900001;1043.0;179967.5713900001;1088.0;179967.5713900001;1061.0;179967.5713900001;1056.0;179967.5713900001;1060.0;179967.5713900001;1055.0;179967.5713900001;1030.0;179967.5713900001;1109.0;179967.5713900001;1044.0;179967.5713900001;1039.0;179967.5713900001;
GKD-b_20_n50_m15;88.35;28786.147290000004;28786.14729;86.0;28786.147290000004;91.0;28786.147290000004;108.0;28786.147290000004;90.0;28786.147290000004;95.0;28786.147290000004;83.0;28786.147290000004;85.0;28786.147290000004;83.0;28786.147290000004;87.0;28786.147290000004;83.0;28786.147290000004;83.0;28786.147290000004;85.0;28786.147290000004;86.0;28786.147290000004;88.0;28786.147290000004;86.0;28786.147290000004;88.0;28786.147290000004;86.0;28786.147290000004;90.0;28786.147290000004;83.0;28786.147290000004;101.0;28786.147290000004;
GKD-b_7_n25_m7;32.0;12214.191360000004;12214.19136;29.0;12214.191360000004;31.0;12214.191360000004;40.0;12214.191360000004;30.0;12214.191360000004;29.0;12214.191360000004;37.0;12214.191360000004;30.0;12214.191360000004;42.0;12214.191360000004;28.0;12214.191360000004;49.0;12214.191360000004;28.0;12214.191360000004;27.0;12214.191360000004;28.0;12214.191360000004;28.0;12214.191360000004;28.0;12214.191360000004;28.0;12214.191360000004;30.0;12214.191360000004;29.0;12214.191360000004;40.0;12214.191360000004;29.0;12214.191360000004;
GKD-b_9_n25_m7;33.95;4148.35285;4148.35285;41.0;4148.35285;28.0;4148.35285;31.0;4148.35285;28.0;4148.35285;27.0;4148.35285;41.0;4148.35285;50.0;4148.35285;61.0;4148.35285;29.0;4148.35285;39.0;4148.35285;28.0;4148.35285;30.0;4148.35285;29.0;4148.35285;27.0;4148.35285;28.0;4148.35285;42.0;4148.35285;27.0;4148.35285;36.0;4148.35285;29.0;4148.35285;28.0;4148.35285;
GKD-b_27_n100_m30;614.4;68229.52912000008;68185.07076450008;593.0;68229.52912000008;607.0;68229.52912000008;630.0;68229.52912000008;612.0;68229.52912000008;605.0;68229.52912000008;605.0;68229.52912000008;597.0;68229.52912000008;621.0;68229.52912000008;627.0;68229.52912000008;628.0;68229.52912000008;633.0;68229.52912000008;641.0;68229.52912000008;605.0;68229.52912000008;598.0;67340.3620100001;612.0;68229.52912000008;624.0;68229.52912000008;595.0;68229.52912000008;641.0;68229.52912000008;606.0;68229.52912000008;608.0;68229.52912000008;
GKD-b_50_n150_m45;3268.8;265467.1305999998;265448.81126199977;3250.0;265467.1305999998;3264.0;265467.1305999998;3314.0;265467.1305999998;3302.0;265345.00167999946;3271.0;265467.1305999998;3217.0;265467.1305999998;3228.0;265467.1305999998;3235.0;265467.1305999998;3313.0;265467.1305999998;3284.0;265467.1305999998;3300.0;265467.1305999998;3203.0;265467.1305999998;3259.0;265467.1305999998;3255.0;265467.1305999998;3264.0;265467.1305999998;3260.0;265345.00167999946;3249.0;265467.1305999998;3374.0;265467.1305999998;3264.0;265345.00167999946;3270.0;265467.1305999998;
GKD-b_5_n25_m2;23.75;641.50912;641.5091200000002;50.0;641.50912;20.0;641.50912;20.0;641.50912;38.0;641.50912;21.0;641.50912;20.0;641.50912;19.0;641.50912;20.0;641.50912;21.0;641.50912;19.0;641.50912;27.0;641.50912;19.0;641.50912;30.0;641.50912;19.0;641.50912;27.0;641.50912;20.0;641.50912;19.0;641.50912;22.0;641.50912;20.0;641.50912;24.0;641.50912;
