Instancia;Tempo Medio;Melhor Solucao;Solucao Media;#1T;#1S;#2T;#2S;#3T;#3S;#4T;#4S;#5T;#5S;#6T;#6S;#7T;#7S;#8T;#8S;#9T;#9S;#10T;#10S;#11T;#11S;#12T;#12S;#13T;#13S;#14T;#14S;#15T;#15S;#16T;#16S;#17T;#17S;#18T;#18S;#19T;#19S;#20T;#20S;
GKD-c_7_n500_m50;48912.25;51111.77861000005;50986.748269500036;48159.0;51111.77861000005;48472.0;50646.26869999998;56028.0;50909.45524000002;48722.0;51111.77861000005;48162.0;51111.77861000005;48171.0;51111.77861000005;49331.0;50909.45524000002;49005.0;51111.77861000005;49827.0;50534.25833000005;48066.0;51111.77861000005;47579.0;51111.77861000005;49364.0;50909.45524000002;47785.0;50896.47362000001;48241.0;50909.45524000002;48901.0;50909.45524000002;47706.0;51111.77861000005;47704.0;51111.77861000005;50001.0;51111.77861000005;48117.0;51111.77861000005;48904.0;50881.12383000003;
GKD-c_4_n500_m50;34092.35;47276.34462999992;47133.12318349994;32792.0;47034.16044999999;33315.0;47276.34462999992;36823.0;47018.01248999987;32887.0;47034.16044999999;33337.0;47036.15400000002;33570.0;47276.34462999992;33681.0;47123.54659999992;34950.0;47123.54659999992;34532.0;47123.54659999992;33491.0;47034.16044999999;34245.0;47276.34462999992;34070.0;47123.54659999992;33749.0;47123.54659999992;33175.0;47036.15400000002;33319.0;47036.15400000002;35511.0;47276.34462999992;35903.0;47123.54659999992;35529.0;47034.16044999999;33711.0;47276.34462999992;33257.0;47276.34462999992;
GKD-c_2_n500_m50;31991.55;50049.374059999915;50017.80556949997;31469.0;50049.374059999915;31669.0;50049.374059999915;31213.0;49906.81771;31484.0;50049.374059999915;31723.0;50049.374059999915;31664.0;50049.374059999915;31962.0;50049.374059999915;31887.0;49906.81771;33451.0;49998.44887000005;32232.0;49998.44887000005;32271.0;50049.374059999915;31792.0;50049.374059999915;31823.0;49998.44887000005;32242.0;50049.374059999915;32762.0;50049.374059999915;32216.0;49906.81771;31644.0;50049.374059999915;32841.0;49998.44887000005;31576.0;50049.374059999915;31910.0;50049.374059999915;
GKD-c_6_n500_m50;34633.15;56048.99836999982;55966.744752999824;34033.0;56000.67124999983;34486.0;56048.99836999982;34117.0;56048.99836999982;34600.0;56048.99836999982;35726.0;55835.18826999985;34385.0;56000.67124999983;34779.0;55745.09651999984;35088.0;56000.67124999983;35132.0;56000.67124999983;34571.0;56048.99836999982;34523.0;56048.99836999982;34301.0;56048.99836999982;34891.0;56000.67124999983;34033.0;56048.99836999982;34112.0;56048.99836999982;33709.0;55806.41401999983;35871.0;55745.09651999984;36411.0;56000.67124999983;34097.0;55806.41401999983;33798.0;56000.67124999983;
GKD-c_8_n500_m50;34908.95;56601.60826000015;56524.23137800015;35408.0;56601.60826000015;35167.0;56598.282390000146;34477.0;56214.57439000013;34206.0;56598.282390000146;34818.0;56601.60826000015;34571.0;56601.60826000015;35360.0;56416.048950000084;34492.0;56601.60826000015;34732.0;56601.60826000015;35058.0;56601.60826000015;35069.0;56453.602180000205;34830.0;56559.59863000022;34726.0;56350.238220000196;34777.0;56559.59863000022;35796.0;56601.60826000015;34772.0;56416.048950000084;34251.0;56598.282390000146;35902.0;56453.602180000205;34819.0;56453.602180000205;34948.0;56601.60826000015;
GKD-c_9_n500_m50;18884.3;51804.75158000004;51717.61775850002;18709.0;51650.14860999995;19550.0;51804.75158000004;18918.0;51650.14860999995;18715.0;51804.75158000004;19044.0;51804.75158000004;18506.0;51804.75158000004;19159.0;51804.75158000004;19194.0;51454.1395999999;18951.0;51804.75158000004;19137.0;51594.83755000007;18999.0;51594.83755000007;18775.0;51571.17059;18311.0;51650.14860999995;18866.0;51804.75158000004;18824.0;51594.83755000007;18445.0;51804.75158000004;18383.0;51772.28535;19534.0;51804.75158000004;19040.0;51804.75158000004;18626.0;51772.28535;
GKD-c_10_n500_m50;23177.3;52110.27720999997;51915.99309150001;22971.0;52110.27720999997;22821.0;52110.27720999997;23178.0;51497.92224000002;23410.0;52110.27720999997;23584.0;52110.27720999997;23248.0;52110.27720999997;22979.0;51645.08329000005;23154.0;52110.27720999997;23267.0;52110.27720999997;23552.0;51628.11333000005;23135.0;51645.08329000005;23243.0;51645.08329000005;23575.0;52110.27720999997;23230.0;52110.27720999997;23015.0;52110.27720999997;22399.0;51645.08329000005;22963.0;52110.27720999997;23721.0;51645.08329000005;23208.0;51645.08329000005;22893.0;52110.27720999997;
GKD-c_5_n500_m50;25609.2;60202.39518999978;60145.54161199982;25494.0;60109.48497999985;25276.0;60202.39518999978;25918.0;60063.434099999824;25513.0;60202.39518999978;25740.0;60109.48497999985;25712.0;60202.39518999978;25430.0;60202.39518999978;25111.0;60202.39518999978;25530.0;60109.48497999985;25583.0;60109.48497999985;25732.0;60202.39518999978;25525.0;60109.48497999985;25439.0;60109.48497999985;26092.0;60202.39518999978;25911.0;60202.39518999978;25542.0;60086.52748999982;26145.0;60063.434099999824;25781.0;60109.48497999985;25732.0;60202.39518999978;24978.0;60109.48497999985;
GKD-c_3_n500_m50;25340.65;50044.86798999994;49511.9614004999;24583.0;49069.52949999998;24875.0;49426.945069999856;25172.0;49426.945069999856;25356.0;49426.945069999856;29362.0;49426.945069999856;25299.0;49137.5053899999;24710.0;49426.945069999856;25325.0;49069.52949999998;25917.0;49426.945069999856;25117.0;49137.5053899999;24968.0;50044.86798999994;24846.0;49137.5053899999;25233.0;50044.86798999994;25007.0;50044.86798999994;25381.0;50044.86798999994;25250.0;49426.945069999856;24706.0;50044.86798999994;25888.0;49426.945069999856;24788.0;50044.86798999994;25030.0;49002.88433999991;
GKD-c_1_n500_m50;31797.5;56768.182530000005;56547.824222500014;31429.0;56705.09717000003;31497.0;56705.09717000003;31685.0;56705.09717000003;31943.0;56768.182530000005;31924.0;56705.09717000003;31755.0;56768.182530000005;32232.0;55859.39501000004;31439.0;56212.266760000006;32445.0;56705.09717000003;31610.0;56768.182530000005;32192.0;56768.182530000005;32042.0;56768.182530000005;31916.0;56705.09717000003;31584.0;56768.182530000005;32112.0;56212.266760000006;31130.0;56212.266760000006;30976.0;56768.182530000005;31892.0;56768.182530000005;32247.0;56212.266760000006;31900.0;55871.97913999998;
