Instancia;Tempo Medio;Melhor Solucao;Solucao Media;#1T;#1S;#2T;#2S;#3T;#3S;#4T;#4S;#5T;#5S;#6T;#6S;#7T;#7S;#8T;#8S;#9T;#9S;#10T;#10S;#11T;#11S;#12T;#12S;#13T;#13S;#14T;#14S;#15T;#15S;#16T;#16S;#17T;#17S;#18T;#18S;#19T;#19S;#20T;#20S;
MDG-b_2_n500_m50;70406.9;2026244.389999999;1990770.3074999978;65989.0;1973851.3500000008;65606.0;1975302.0399999914;70576.0;1905536.4599999916;68446.0;2026244.389999999;70082.0;1973851.3500000008;71250.0;1975302.0399999914;71989.0;2026244.389999999;71094.0;2026244.389999999;71077.0;1975302.0399999914;72573.0;1975302.0399999914;72733.0;2026244.389999999;72451.0;1938528.309999996;70899.0;2026244.389999999;68056.0;2026244.389999999;71361.0;1973851.3500000008;68713.0;1973851.3500000008;71699.0;1938528.309999996;71727.0;2026244.389999999;72811.0;2026244.389999999;69006.0;2026244.389999999;
MDG-b_1_n500_m50;82296.05;2061026.5100000044;2040403.6875000023;81636.0;2061026.5100000044;82286.0;2018555.4600000023;82000.0;2011793.4000000004;82238.0;2061026.5100000044;81761.0;2061026.5100000044;82120.0;2061026.5100000044;82591.0;2004160.95;83197.0;1995787.0399999956;80686.0;2061026.5100000044;85923.0;2051827.5899999987;82820.0;2061026.5100000044;82121.0;2061026.5100000044;81923.0;2018555.4600000023;82548.0;2013372.8499999994;81370.0;2061026.5100000044;80238.0;2061026.5100000044;80594.0;2018555.4600000023;85045.0;2061026.5100000044;82687.0;2051827.5899999987;82137.0;2013372.8499999994;
MDG-b_5_n500_m50;77874.95;2194334.4599999934;2169421.7939999946;75836.0;2194334.4599999934;74901.0;2166404.789999993;88073.0;2194334.4599999934;75783.0;2134280.6199999945;77896.0;2194334.4599999934;77564.0;2194334.4599999934;78140.0;2194334.4599999934;75343.0;2145488.95;75168.0;2166404.789999993;78351.0;2194334.4599999934;76620.0;2194334.4599999934;78598.0;2194334.4599999934;77945.0;2166404.789999993;77415.0;2134280.6199999945;76121.0;2194334.4599999934;82190.0;2145488.95;77376.0;2145488.95;80043.0;2120235.3899999913;77215.0;2194334.4599999934;76921.0;2120613.4299999927;
MDG-b_7_n500_m50;78712.0;1911627.7099999927;1875946.106499996;78556.0;1814441.719999998;79504.0;1911627.7099999927;75019.0;1911627.7099999927;78054.0;1820321.3999999955;79154.0;1911627.7099999927;78017.0;1911627.7099999927;78008.0;1911627.7099999927;78399.0;1911627.7099999927;78894.0;1820321.3999999955;78214.0;1911627.7099999927;77374.0;1815927.210000003;77767.0;1911627.7099999927;77255.0;1863794.539999999;80003.0;1911627.7099999927;79879.0;1808300.5700000061;80969.0;1911627.7099999927;77386.0;1820321.3999999955;82445.0;1863794.539999999;81701.0;1911627.7099999927;77642.0;1863794.539999999;
MDG-b_9_n500_m50;77336.3;1999968.5599999987;1989349.592999997;78380.0;1977782.0799999926;78280.0;1999968.5599999987;77709.0;1977782.0799999926;76513.0;1999968.5599999987;76666.0;1977782.0799999926;72962.0;1999968.5599999987;78120.0;1977782.0799999926;78546.0;1999968.5599999987;76453.0;1960338.3299999973;77375.0;1999968.5599999987;76160.0;1999968.5599999987;80450.0;1977782.0799999926;76648.0;1977782.0799999926;78320.0;1999968.5599999987;75789.0;1999968.5599999987;79205.0;1999968.5599999987;75840.0;1960338.3299999973;78590.0;1999968.5599999987;75487.0;1999968.5599999987;79233.0;1999968.5599999987;
MDG-b_3_n500_m50;76332.85;2057419.770000001;2028742.149000002;73559.0;2019182.1100000038;78224.0;2002303.8899999987;76671.0;2019182.1100000038;74406.0;2019182.1100000038;73946.0;2019182.1100000038;74769.0;2057419.770000001;76404.0;1970807.4099999974;79535.0;2057419.770000001;75679.0;2013577.149999999;76468.0;2019182.1100000038;77136.0;2019182.1100000038;74217.0;2057419.770000001;75865.0;2019182.1100000038;79298.0;2057419.770000001;79256.0;2057419.770000001;75455.0;2013577.149999999;75738.0;2057419.770000001;76432.0;2057419.770000001;78181.0;2019182.1100000038;75418.0;2019182.1100000038;
MDG-b_6_n500_m50;68069.6;2145372.309999997;2082534.8454999968;67860.0;2002004.7199999976;67786.0;2145372.309999997;68206.0;1978020.009999997;67955.0;2027558.580000001;70060.0;2074905.229999995;67577.0;2074905.229999995;65319.0;2027558.580000001;67487.0;2145372.309999997;67817.0;2074905.229999995;65896.0;1978020.009999997;68043.0;2027558.580000001;66720.0;2002004.7199999976;67439.0;2145372.309999997;68350.0;2145372.309999997;69180.0;2074905.229999995;67633.0;2145372.309999997;70236.0;2145372.309999997;70609.0;2145372.309999997;67097.0;2145372.309999997;70122.0;2145372.309999997;
MDG-b_8_n500_m50;79893.25;2042392.7300000002;2023513.9499999988;80416.0;2042392.7300000002;79591.0;2042392.7300000002;78688.0;2007280.9999999967;79142.0;2042392.7300000002;78561.0;1995189.8799999964;79290.0;2042392.7300000002;80662.0;2007280.9999999967;81685.0;1984854.170000003;78747.0;1984854.170000003;82431.0;2034979.5499999942;79297.0;2042392.7300000002;81328.0;2042392.7300000002;78300.0;1962085.0100000012;79313.0;2042392.7300000002;78941.0;2042392.7300000002;83419.0;2034979.5499999942;79361.0;2042392.7300000002;82740.0;2034979.5499999942;80044.0;2034979.5499999942;75909.0;2007280.9999999967;
MDG-b_4_n500_m50;81185.3;1998400.789999999;1976461.530500001;81381.0;1998400.789999999;81591.0;1936968.950000003;80649.0;1998400.789999999;78971.0;1998400.789999999;82023.0;1998400.789999999;82779.0;1936968.950000003;82138.0;1960386.7400000056;84701.0;1960386.7400000056;83935.0;1998400.789999999;80544.0;1931136.7400000002;79085.0;1998400.789999999;81243.0;1998400.789999999;80578.0;1960386.7400000056;81857.0;1998400.789999999;80511.0;1950100.1600000036;80262.0;1998400.789999999;80443.0;1950100.1600000036;81136.0;1998400.789999999;80712.0;1998400.789999999;79167.0;1960386.7400000056;
MDG-b_10_n500_m50;78958.55;2186175.4400000027;2152270.3290000027;76395.0;2186175.4400000027;78382.0;2186175.4400000027;78028.0;2186175.4400000027;86316.0;2097699.5200000033;76389.0;2117209.590000003;77989.0;2186175.4400000027;80039.0;2105392.8200000036;81091.0;2186175.4400000027;81742.0;2110076.610000002;79631.0;2186175.4400000027;78556.0;2186175.4400000027;78277.0;2186175.4400000027;79122.0;2117209.590000003;77218.0;2105392.8200000036;76560.0;2186175.4400000027;79820.0;2117209.590000003;76182.0;2117209.590000003;78676.0;2186175.4400000027;78946.0;2186175.4400000027;79812.0;2110076.610000002;
