Instancia;Tempo Medio;Melhor Solucao;Solucao Media;#1T;#1S;#2T;#2S;#3T;#3S;#4T;#4S;#5T;#5S;#6T;#6S;#7T;#7S;#8T;#8S;#9T;#9S;#10T;#10S;#11T;#11S;#12T;#12S;#13T;#13S;#14T;#14S;#15T;#15S;#16T;#16S;#17T;#17S;#18T;#18S;#19T;#19S;#20T;#20S;
SOM-a_37_n125_m37;2108.05;7697.0;7696.2;2144.0;7697.0;2240.0;7697.0;2070.0;7697.0;2114.0;7697.0;2139.0;7697.0;2110.0;7697.0;2091.0;7697.0;2084.0;7681.0;2062.0;7697.0;2044.0;7697.0;2180.0;7697.0;2060.0;7697.0;2125.0;7697.0;2116.0;7697.0;2009.0;7697.0;2162.0;7697.0;2082.0;7697.0;2205.0;7697.0;2094.0;7697.0;2030.0;7697.0;
SOM-a_19_n50_m15;104.5;1247.0;1247.0;106.0;1247.0;105.0;1247.0;127.0;1247.0;126.0;1247.0;110.0;1247.0;93.0;1247.0;109.0;1247.0;96.0;1247.0;107.0;1247.0;104.0;1247.0;117.0;1247.0;92.0;1247.0;91.0;1247.0;107.0;1247.0;96.0;1247.0;121.0;1247.0;98.0;1247.0;93.0;1247.0;103.0;1247.0;89.0;1247.0;
SOM-a_27_n100_m30;711.2;4946.0;4946.0;718.0;4946.0;761.0;4946.0;705.0;4946.0;749.0;4946.0;723.0;4946.0;692.0;4946.0;683.0;4946.0;704.0;4946.0;723.0;4946.0;696.0;4946.0;704.0;4946.0;699.0;4946.0;725.0;4946.0;715.0;4946.0;682.0;4946.0;696.0;4946.0;715.0;4946.0;730.0;4946.0;685.0;4946.0;719.0;4946.0;
SOM-a_50_n150_m45;5026.1;10720.0;10707.3;4974.0;10720.0;5223.0;10593.0;5087.0;10720.0;5020.0;10593.0;5017.0;10720.0;4895.0;10720.0;4921.0;10720.0;5007.0;10720.0;5030.0;10720.0;4966.0;10720.0;5083.0;10720.0;4937.0;10720.0;5141.0;10720.0;4996.0;10720.0;5076.0;10720.0;4937.0;10720.0;5011.0;10720.0;5248.0;10720.0;4937.0;10720.0;5016.0;10720.0;
SOM-a_35_n125_m12;280.1;1300.0;1297.4;279.0;1300.0;267.0;1300.0;302.0;1300.0;296.0;1287.0;281.0;1287.0;285.0;1300.0;261.0;1300.0;292.0;1300.0;315.0;1287.0;287.0;1300.0;277.0;1300.0;275.0;1300.0;276.0;1287.0;277.0;1300.0;254.0;1300.0;267.0;1300.0;266.0;1300.0;276.0;1300.0;276.0;1300.0;293.0;1300.0;
SOM-a_17_n50_m15;90.3;1471.0;1471.0;88.0;1471.0;99.0;1471.0;85.0;1471.0;91.0;1471.0;84.0;1471.0;82.0;1471.0;86.0;1471.0;142.0;1471.0;83.0;1471.0;89.0;1471.0;87.0;1471.0;92.0;1471.0;83.0;1471.0;99.0;1471.0;85.0;1471.0;84.0;1471.0;86.0;1471.0;88.0;1471.0;87.0;1471.0;86.0;1471.0;
SOM-a_32_n125_m12;310.15;1218.0;1216.75;314.0;1218.0;340.0;1218.0;322.0;1218.0;321.0;1218.0;307.0;1218.0;295.0;1218.0;299.0;1218.0;286.0;1218.0;295.0;1218.0;314.0;1218.0;306.0;1218.0;343.0;1218.0;290.0;1218.0;337.0;1218.0;290.0;1218.0;315.0;1193.0;293.0;1218.0;311.0;1218.0;307.0;1218.0;318.0;1218.0;
SOM-a_47_n150_m45;3425.7;10534.0;10532.2;3370.0;10534.0;3383.0;10534.0;3410.0;10534.0;3351.0;10534.0;3420.0;10534.0;3428.0;10534.0;3339.0;10534.0;3417.0;10534.0;3522.0;10534.0;3426.0;10534.0;3467.0;10534.0;3471.0;10534.0;3471.0;10534.0;3390.0;10534.0;3401.0;10534.0;3521.0;10534.0;3361.0;10498.0;3691.0;10534.0;3367.0;10534.0;3308.0;10534.0;
SOM-a_41_n150_m15;562.55;2087.0;2076.2;550.0;2087.0;626.0;2087.0;564.0;2087.0;551.0;2087.0;554.0;1979.0;552.0;2087.0;579.0;1979.0;554.0;2087.0;576.0;2087.0;592.0;2087.0;585.0;2087.0;524.0;2087.0;581.0;2087.0;546.0;2087.0;549.0;2087.0;541.0;2087.0;543.0;2087.0;562.0;2087.0;559.0;2087.0;563.0;2087.0;
SOM-a_30_n100_m30;809.8;5055.0;5055.0;788.0;5055.0;856.0;5055.0;814.0;5055.0;807.0;5055.0;799.0;5055.0;824.0;5055.0;804.0;5055.0;810.0;5055.0;814.0;5055.0;789.0;5055.0;800.0;5055.0;826.0;5055.0;820.0;5055.0;788.0;5055.0;761.0;5055.0;869.0;5055.0;791.0;5055.0;836.0;5055.0;798.0;5055.0;802.0;5055.0;
SOM-a_5_n25_m2;21.55;21.0;21.0;19.0;21.0;20.0;21.0;22.0;21.0;19.0;21.0;36.0;21.0;19.0;21.0;22.0;21.0;19.0;21.0;18.0;21.0;18.0;21.0;30.0;21.0;20.0;21.0;19.0;21.0;19.0;21.0;19.0;21.0;19.0;21.0;20.0;21.0;34.0;21.0;20.0;21.0;19.0;21.0;
SOM-a_36_n125_m37;1673.7;7191.0;7190.2;1680.0;7175.0;1711.0;7191.0;1731.0;7191.0;1650.0;7191.0;1667.0;7191.0;1617.0;7191.0;1643.0;7191.0;1687.0;7191.0;1653.0;7191.0;1695.0;7191.0;1659.0;7191.0;1665.0;7191.0;1683.0;7191.0;1656.0;7191.0;1644.0;7191.0;1659.0;7191.0;1699.0;7191.0;1713.0;7191.0;1704.0;7191.0;1658.0;7191.0;
SOM-a_7_n25_m7;31.75;265.0;265.0;33.0;265.0;29.0;265.0;30.0;265.0;50.0;265.0;28.0;265.0;41.0;265.0;54.0;265.0;26.0;265.0;29.0;265.0;27.0;265.0;28.0;265.0;28.0;265.0;33.0;265.0;28.0;265.0;28.0;265.0;28.0;265.0;30.0;265.0;30.0;265.0;28.0;265.0;27.0;265.0;
SOM-a_33_n125_m12;303.8;1270.0;1264.3;298.0;1243.0;302.0;1243.0;316.0;1270.0;326.0;1270.0;283.0;1270.0;298.0;1270.0;301.0;1270.0;315.0;1270.0;307.0;1270.0;285.0;1270.0;287.0;1270.0;296.0;1237.0;296.0;1270.0;301.0;1270.0;286.0;1270.0;318.0;1270.0;317.0;1270.0;288.0;1243.0;327.0;1270.0;329.0;1270.0;
SOM-a_9_n25_m7;32.8;265.0;265.0;31.0;265.0;46.0;265.0;29.0;265.0;38.0;265.0;31.0;265.0;30.0;265.0;31.0;265.0;29.0;265.0;30.0;265.0;29.0;265.0;29.0;265.0;49.0;265.0;29.0;265.0;31.0;265.0;29.0;265.0;28.0;265.0;33.0;265.0;32.0;265.0;29.0;265.0;43.0;265.0;
SOM-a_22_n100_m10;165.4;947.0;944.55;155.0;947.0;168.0;947.0;154.0;947.0;153.0;898.0;155.0;947.0;162.0;947.0;155.0;947.0;191.0;947.0;172.0;947.0;158.0;947.0;153.0;947.0;182.0;947.0;162.0;947.0;158.0;947.0;159.0;947.0;184.0;947.0;172.0;947.0;179.0;947.0;165.0;947.0;171.0;947.0;
SOM-a_1_n25_m2;21.35;17.0;17.0;20.0;17.0;21.0;17.0;19.0;17.0;19.0;17.0;19.0;17.0;18.0;17.0;19.0;17.0;36.0;17.0;19.0;17.0;19.0;17.0;19.0;17.0;20.0;17.0;19.0;17.0;22.0;17.0;19.0;17.0;20.0;17.0;20.0;17.0;41.0;17.0;19.0;17.0;19.0;17.0;
SOM-a_3_n25_m2;24.05;20.0;20.0;20.0;20.0;23.0;20.0;19.0;20.0;19.0;20.0;19.0;20.0;41.0;20.0;20.0;20.0;19.0;20.0;38.0;20.0;42.0;20.0;19.0;20.0;19.0;20.0;19.0;20.0;31.0;20.0;19.0;20.0;19.0;20.0;36.0;20.0;20.0;20.0;19.0;20.0;20.0;20.0;
