Instancia;Tempo Medio;Melhor Solucao;Solucao Media;#1T;#1S;#2T;#2S;#3T;#3S;#4T;#4S;#5T;#5S;#6T;#6S;#7T;#7S;#8T;#8S;#9T;#9S;#10T;#10S;#11T;#11S;#12T;#12S;#13T;#13S;#14T;#14S;#15T;#15S;#16T;#16S;#17T;#17S;#18T;#18S;#19T;#19S;#20T;#20S;
SOM-b_16_n400_m160;431833.5;110928.0;110698.55;423526.0;110928.0;431473.0;110928.0;428524.0;110928.0;534593.0;110245.0;428240.0;110437.0;426610.0;110928.0;421977.0;110688.0;419173.0;110688.0;420259.0;110928.0;423507.0;110066.0;424616.0;110928.0;425894.0;110928.0;434290.0;110688.0;429971.0;110066.0;416830.0;110688.0;421967.0;110688.0;429964.0;110928.0;434913.0;110437.0;433577.0;110928.0;426766.0;110928.0;
SOM-b_18_n500_m100;301078.4;62626.0;60521.4;305385.0;62626.0;310207.0;60226.0;299192.0;62626.0;298585.0;62626.0;298416.0;60226.0;298835.0;62626.0;299856.0;59475.0;300209.0;59475.0;301346.0;58557.0;303398.0;62626.0;297067.0;59475.0;300597.0;60226.0;298886.0;60226.0;302857.0;60226.0;291237.0;59278.0;289658.0;59166.0;309035.0;62626.0;309549.0;59166.0;299948.0;59475.0;307305.0;59475.0;
SOM-b_3_n100_m30;860.45;4711.0;4708.3;860.0;4711.0;852.0;4711.0;904.0;4711.0;899.0;4711.0;849.0;4711.0;885.0;4711.0;877.0;4711.0;877.0;4711.0;873.0;4711.0;852.0;4711.0;867.0;4711.0;854.0;4711.0;818.0;4711.0;873.0;4711.0;846.0;4711.0;854.0;4684.0;863.0;4711.0;846.0;4711.0;845.0;4684.0;815.0;4711.0;
SOM-b_6_n200_m40;4565.0;10092.0;10084.7;4605.0;10092.0;4534.0;10092.0;4433.0;10092.0;4438.0;10092.0;4527.0;10092.0;4527.0;10092.0;4459.0;10092.0;4721.0;10092.0;4403.0;10092.0;4635.0;10092.0;4724.0;10092.0;4552.0;10092.0;4675.0;10092.0;4650.0;10092.0;4559.0;10092.0;4525.0;10092.0;4778.0;10092.0;4553.0;9946.0;4447.0;10092.0;4555.0;10092.0;
SOM-b_10_n300_m60;33201.2;23517.0;23369.5;32686.0;23517.0;34392.0;23191.0;32302.0;23517.0;33178.0;23517.0;33852.0;23187.0;33598.0;23517.0;32878.0;23517.0;32924.0;23187.0;32510.0;23191.0;34056.0;23187.0;32085.0;23517.0;31899.0;23191.0;35461.0;23187.0;33283.0;23517.0;32766.0;23517.0;33666.0;23517.0;32653.0;23517.0;33939.0;23191.0;32760.0;23517.0;33136.0;23191.0;
SOM-b_13_n400_m40;23472.15;12143.0;12051.55;23025.0;11898.0;23287.0;12050.0;23393.0;12143.0;23770.0;12002.0;23066.0;12050.0;23827.0;11936.0;24347.0;12002.0;23740.0;12050.0;23340.0;12002.0;23679.0;12050.0;22861.0;12143.0;22900.0;12002.0;23396.0;12143.0;23382.0;12143.0;22801.0;11936.0;23609.0;12143.0;23557.0;12143.0;24770.0;12002.0;23337.0;12050.0;23356.0;12143.0;
SOM-b_11_n300_m90;77082.9;44553.0;43880.45;75586.0;44553.0;76381.0;44553.0;77354.0;42892.0;79843.0;44553.0;76503.0;44553.0;77070.0;44553.0;78473.0;42900.0;76789.0;42900.0;76846.0;44553.0;76699.0;44553.0;76596.0;44553.0;76733.0;42900.0;78201.0;42900.0;78710.0;44553.0;76197.0;42892.0;76389.0;44553.0;76828.0;44553.0;78251.0;42689.0;75837.0;42900.0;76372.0;44553.0;
SOM-b_15_n400_m120;305584.1;74279.0;74077.2;295623.0;74279.0;305700.0;74279.0;311009.0;74279.0;308576.0;74279.0;307420.0;73683.0;307201.0;74279.0;310895.0;73683.0;305179.0;73683.0;302163.0;73453.0;306452.0;73453.0;302707.0;74279.0;305345.0;73683.0;302162.0;74279.0;307355.0;74279.0;304252.0;74279.0;303557.0;74279.0;302935.0;74279.0;314884.0;74279.0;305421.0;74279.0;302846.0;74279.0;
SOM-b_1_n100_m10;166.7;879.0;876.8;195.0;879.0;156.0;879.0;196.0;879.0;176.0;879.0;153.0;879.0;159.0;879.0;152.0;879.0;156.0;879.0;159.0;879.0;181.0;879.0;154.0;879.0;208.0;879.0;165.0;879.0;153.0;835.0;156.0;879.0;168.0;879.0;155.0;879.0;162.0;879.0;177.0;879.0;153.0;879.0;
SOM-b_4_n100_m40;1098.0;7591.0;7588.7;1126.0;7591.0;1104.0;7591.0;1083.0;7591.0;1124.0;7591.0;1093.0;7545.0;1083.0;7591.0;1097.0;7591.0;1177.0;7591.0;1106.0;7591.0;1087.0;7591.0;1089.0;7591.0;1112.0;7591.0;1110.0;7591.0;1080.0;7591.0;1066.0;7591.0;1111.0;7591.0;1070.0;7591.0;1085.0;7591.0;1074.0;7591.0;1083.0;7591.0;
SOM-b_8_n200_m80;26605.3;30891.0;30785.5;25861.0;30891.0;26590.0;30607.0;26198.0;30891.0;26664.0;30891.0;28030.0;30607.0;27730.0;30891.0;27908.0;30546.0;26217.0;30891.0;25760.0;30891.0;26608.0;30607.0;26564.0;30891.0;25824.0;30607.0;26292.0;30891.0;26106.0;30891.0;26208.0;30891.0;26039.0;30891.0;26925.0;30891.0;26714.0;30607.0;26475.0;30891.0;27393.0;30546.0;
SOM-b_17_n500_m50;75031.3;17626.0;17448.7;74962.0;17626.0;74343.0;17039.0;74200.0;17371.0;84090.0;17371.0;73471.0;17371.0;74886.0;17371.0;73432.0;17626.0;73605.0;17371.0;72266.0;17626.0;74286.0;17626.0;76860.0;17626.0;74368.0;17371.0;74360.0;17626.0;72642.0;17626.0;76094.0;17371.0;74733.0;17626.0;74503.0;17626.0;77223.0;17039.0;75672.0;17039.0;74630.0;17626.0;
SOM-b_7_n200_m60;12203.95;19601.0;19574.85;12196.0;19601.0;12595.0;19601.0;12043.0;19592.0;11895.0;19601.0;12586.0;19601.0;12587.0;19601.0;12088.0;19601.0;12714.0;19601.0;12067.0;19601.0;12233.0;19601.0;12046.0;19601.0;12211.0;19601.0;12293.0;19601.0;12377.0;19601.0;11862.0;19601.0;11890.0;19601.0;12651.0;19601.0;11997.0;19087.0;12028.0;19601.0;11720.0;19601.0;
SOM-b_2_n100_m20;435.85;2897.0;2894.9;452.0;2897.0;433.0;2897.0;440.0;2897.0;458.0;2897.0;435.0;2897.0;451.0;2897.0;433.0;2897.0;459.0;2897.0;444.0;2897.0;442.0;2897.0;451.0;2897.0;426.0;2897.0;452.0;2897.0;435.0;2855.0;410.0;2897.0;414.0;2897.0;429.0;2897.0;416.0;2897.0;419.0;2897.0;418.0;2897.0;
SOM-b_14_n400_m80;110239.5;37407.0;36713.65;108496.0;36776.0;106975.0;37407.0;109267.0;36322.0;131294.0;36322.0;110829.0;36776.0;111713.0;36180.0;107687.0;37407.0;109069.0;36069.0;109743.0;36776.0;110696.0;37407.0;109982.0;36234.0;110578.0;36776.0;106733.0;36776.0;107199.0;37407.0;110949.0;36180.0;109326.0;36177.0;107336.0;36776.0;110175.0;36776.0;107405.0;36322.0;109338.0;37407.0;
SOM-b_12_n300_m120;205200.95;68227.0;68021.0;202497.0;68227.0;203625.0;68227.0;223276.0;68227.0;202683.0;68227.0;203178.0;68227.0;203931.0;67287.0;202281.0;67591.0;207336.0;68227.0;204348.0;68227.0;206152.0;68227.0;207796.0;67591.0;204903.0;68227.0;204124.0;68227.0;199809.0;67591.0;201783.0;68227.0;207120.0;67591.0;201747.0;68227.0;209122.0;67591.0;202297.0;68227.0;206011.0;68227.0;
SOM-b_5_n200_m20;1624.2;3276.0;3240.7;1633.0;3276.0;1594.0;3276.0;1638.0;3276.0;1584.0;3276.0;1682.0;3276.0;1654.0;3276.0;1695.0;3276.0;1684.0;3139.0;1621.0;3139.0;1594.0;3276.0;1663.0;3276.0;1613.0;3276.0;1626.0;3276.0;1615.0;3276.0;1561.0;3276.0;1667.0;3139.0;1632.0;3139.0;1573.0;3118.0;1580.0;3276.0;1575.0;3276.0;
SOM-b_9_n300_m30;7736.55;7175.0;7153.5;7559.0;7175.0;8003.0;7151.0;7784.0;7175.0;7720.0;7175.0;7636.0;7175.0;7857.0;7175.0;7836.0;7175.0;8156.0;7151.0;7990.0;7175.0;7674.0;6948.0;7871.0;7151.0;7685.0;7151.0;7572.0;7175.0;7763.0;7175.0;7528.0;7175.0;7533.0;7175.0;7941.0;7092.0;7435.0;7175.0;7530.0;7175.0;7658.0;7151.0;
SOM-b_19_n500_m150;713230.2;115633.0;115266.6;700658.0;115027.0;707280.0;115172.0;706595.0;115146.0;713251.0;115633.0;731900.0;115101.0;724831.0;115172.0;718572.0;115027.0;715089.0;115172.0;716217.0;115633.0;709391.0;115633.0;710901.0;115172.0;727852.0;115172.0;722163.0;115633.0;705056.0;115633.0;698243.0;115027.0;700121.0;115146.0;726115.0;115172.0;706616.0;115633.0;701542.0;114856.0;722211.0;115172.0;
SOM-b_20_n500_m200;1502066.6;181267.0;180356.1;1467705.0;179444.0;1498365.0;181267.0;1481578.0;179568.0;1786267.0;181267.0;1488548.0;179444.0;1467938.0;179568.0;1496522.0;181267.0;1546282.0;179283.0;1580173.0;179568.0;1498587.0;179568.0;1460676.0;179158.0;1485340.0;179568.0;1496290.0;181267.0;1476770.0;181267.0;1471601.0;181267.0;1467876.0;181267.0;1460732.0;181267.0;1467209.0;181267.0;1466271.0;179283.0;1476602.0;181267.0;
